carrier,scenario,substance,region,time,value
sldg,high_env_pol,car,DE,2020,0.0
sldg,high_env_pol,car,DE,2035,0.0
sldg,high_env_pol,car,DE,2045,0.0
sldg,high_env_pol,cec,DE,2020,0.0
sldg,high_env_pol,cec,DE,2035,0.0
sldg,high_env_pol,cec,DE,2045,0.0
sldg,low_env_pol,car,DE,2020,0.0
sldg,low_env_pol,car,DE,2035,0.0
sldg,low_env_pol,car,DE,2045,0.0
sldg,low_env_pol,cec,DE,2020,0.0
sldg,low_env_pol,cec,DE,2035,0.0
sldg,low_env_pol,cec,DE,2045,0.0
wtr,high_env_pol,car,DE,2020,0.0
wtr,high_env_pol,car,DE,2035,0.0
wtr,high_env_pol,car,DE,2045,0.0
wtr,high_env_pol,cec,DE,2020,360.73214529999996
wtr,high_env_pol,cec,DE,2035,295.1953692
wtr,high_env_pol,cec,DE,2045,267.42623000000003
wtr,low_env_pol,car,DE,2020,0.0
wtr,low_env_pol,car,DE,2035,0.0
wtr,low_env_pol,car,DE,2045,0.0
wtr,low_env_pol,cec,DE,2020,360.73214529999996
wtr,low_env_pol,cec,DE,2035,357.70064990000003
wtr,low_env_pol,cec,DE,2045,351.34276270000004
oxi_con,high_env_pol,car,DE,2020,0.0
oxi_con,high_env_pol,car,DE,2035,0.0
oxi_con,high_env_pol,car,DE,2045,0.0
oxi_con,high_env_pol,cec,DE,2020,0.0
oxi_con,high_env_pol,cec,DE,2035,0.0
oxi_con,high_env_pol,cec,DE,2045,0.0
oxi_con,low_env_pol,car,DE,2020,0.0
oxi_con,low_env_pol,car,DE,2035,0.0
oxi_con,low_env_pol,car,DE,2045,0.0
oxi_con,low_env_pol,cec,DE,2020,0.0
oxi_con,low_env_pol,cec,DE,2035,0.0
oxi_con,low_env_pol,cec,DE,2045,0.0
