time,carrier,scenario,substance,region,value
2020,sldg,high_env_pol,car,DE,0.0
2020,sldg,high_env_pol,cec,DE,457011861.52
2020,sldg,low_env_pol,car,DE,0.0
2020,sldg,low_env_pol,cec,DE,457011861.52
2020,wtr,high_env_pol,car,DE,0.0
2020,wtr,high_env_pol,cec,DE,0.0
2020,wtr,low_env_pol,car,DE,0.0
2020,wtr,low_env_pol,cec,DE,0.0
2020,oxi_con,high_env_pol,car,DE,0.0
2020,oxi_con,high_env_pol,cec,DE,0.0
2020,oxi_con,low_env_pol,car,DE,0.0
2020,oxi_con,low_env_pol,cec,DE,0.0
2035,sldg,high_env_pol,car,DE,0.0
2035,sldg,high_env_pol,cec,DE,558009190.9755001
2035,sldg,low_env_pol,car,DE,0.0
2035,sldg,low_env_pol,cec,DE,453171100.54980004
2035,wtr,high_env_pol,car,DE,0.0
2035,wtr,high_env_pol,cec,DE,0.0
2035,wtr,low_env_pol,car,DE,0.0
2035,wtr,low_env_pol,cec,DE,0.0
2035,oxi_con,high_env_pol,car,DE,0.0
2035,oxi_con,high_env_pol,cec,DE,0.0
2035,oxi_con,low_env_pol,car,DE,0.0
2035,oxi_con,low_env_pol,cec,DE,0.0
2045,sldg,high_env_pol,car,DE,0.0
2045,sldg,high_env_pol,cec,DE,664354033.66
2045,sldg,low_env_pol,car,DE,0.0
2045,sldg,low_env_pol,cec,DE,445117202.55219996
2045,wtr,high_env_pol,car,DE,0.0
2045,wtr,high_env_pol,cec,DE,0.0
2045,wtr,low_env_pol,car,DE,0.0
2045,wtr,low_env_pol,cec,DE,0.0
2045,oxi_con,high_env_pol,car,DE,0.0
2045,oxi_con,high_env_pol,cec,DE,0.0
2045,oxi_con,low_env_pol,car,DE,0.0
2045,oxi_con,low_env_pol,cec,DE,0.0
