carrier,substance,region,technology,time,scenario,value
sldg,car,DE,nof,2020,high_env_pol,0.0
sldg,car,DE,nof,2020,low_env_pol,0.0
sldg,car,DE,nof,2035,high_env_pol,0.0
sldg,car,DE,nof,2035,low_env_pol,0.0
sldg,car,DE,nof,2045,high_env_pol,0.0
sldg,car,DE,nof,2045,low_env_pol,0.0
sldg,car,DE,aop,2020,high_env_pol,0.0
sldg,car,DE,aop,2020,low_env_pol,0.0
sldg,car,DE,aop,2035,high_env_pol,0.0
sldg,car,DE,aop,2035,low_env_pol,0.0
sldg,car,DE,aop,2045,high_env_pol,0.0
sldg,car,DE,aop,2045,low_env_pol,0.0
sldg,car,DE,o3,2020,high_env_pol,0.0
sldg,car,DE,o3,2020,low_env_pol,0.0
sldg,car,DE,o3,2035,high_env_pol,0.0
sldg,car,DE,o3,2035,low_env_pol,0.0
sldg,car,DE,o3,2045,high_env_pol,0.0
sldg,car,DE,o3,2045,low_env_pol,0.0
sldg,car,DE,gac,2020,high_env_pol,0.0
sldg,car,DE,gac,2020,low_env_pol,0.0
sldg,car,DE,gac,2035,high_env_pol,0.0
sldg,car,DE,gac,2035,low_env_pol,0.0
sldg,car,DE,gac,2045,high_env_pol,0.0
sldg,car,DE,gac,2045,low_env_pol,0.0
sldg,cec,DE,nof,2020,high_env_pol,0.0
sldg,cec,DE,nof,2020,low_env_pol,0.0
sldg,cec,DE,nof,2035,high_env_pol,0.0
sldg,cec,DE,nof,2035,low_env_pol,0.0
sldg,cec,DE,nof,2045,high_env_pol,0.0
sldg,cec,DE,nof,2045,low_env_pol,0.0
sldg,cec,DE,aop,2020,high_env_pol,0.0
sldg,cec,DE,aop,2020,low_env_pol,0.0
sldg,cec,DE,aop,2035,high_env_pol,0.0
sldg,cec,DE,aop,2035,low_env_pol,0.0
sldg,cec,DE,aop,2045,high_env_pol,0.0
sldg,cec,DE,aop,2045,low_env_pol,0.0
sldg,cec,DE,o3,2020,high_env_pol,0.0
sldg,cec,DE,o3,2020,low_env_pol,0.0
sldg,cec,DE,o3,2035,high_env_pol,0.0
sldg,cec,DE,o3,2035,low_env_pol,0.0
sldg,cec,DE,o3,2045,high_env_pol,0.0
sldg,cec,DE,o3,2045,low_env_pol,0.0
sldg,cec,DE,gac,2020,high_env_pol,0.0
sldg,cec,DE,gac,2020,low_env_pol,0.0
sldg,cec,DE,gac,2035,high_env_pol,0.0
sldg,cec,DE,gac,2035,low_env_pol,0.0
sldg,cec,DE,gac,2045,high_env_pol,0.0
sldg,cec,DE,gac,2045,low_env_pol,0.0
wtr,car,DE,nof,2020,high_env_pol,0.0
wtr,car,DE,nof,2020,low_env_pol,0.0
wtr,car,DE,nof,2035,high_env_pol,0.0
wtr,car,DE,nof,2035,low_env_pol,0.0
wtr,car,DE,nof,2045,high_env_pol,0.0
wtr,car,DE,nof,2045,low_env_pol,0.0
wtr,car,DE,aop,2020,high_env_pol,0.0
wtr,car,DE,aop,2020,low_env_pol,0.0
wtr,car,DE,aop,2035,high_env_pol,0.0
wtr,car,DE,aop,2035,low_env_pol,0.0
wtr,car,DE,aop,2045,high_env_pol,0.0
wtr,car,DE,aop,2045,low_env_pol,0.0
wtr,car,DE,o3,2020,high_env_pol,0.0
wtr,car,DE,o3,2020,low_env_pol,0.0
wtr,car,DE,o3,2035,high_env_pol,0.0
wtr,car,DE,o3,2035,low_env_pol,0.0
wtr,car,DE,o3,2045,high_env_pol,0.0
wtr,car,DE,o3,2045,low_env_pol,0.0
wtr,car,DE,gac,2020,high_env_pol,0.0
wtr,car,DE,gac,2020,low_env_pol,0.0
wtr,car,DE,gac,2035,high_env_pol,0.0
wtr,car,DE,gac,2035,low_env_pol,0.0
wtr,car,DE,gac,2045,high_env_pol,0.0
wtr,car,DE,gac,2045,low_env_pol,0.0
wtr,cec,DE,nof,2020,high_env_pol,0.0
